"Woonplaatsen in Nederland 2015"
"Onderwerpen";"Woonplaatscode";"Gemeente";"Gemeente";"Provincie";"Provincie";"Landsdeel";"Landsdeel"
"Goëngahuizen";"3281";"Smallingerland";"GM0090";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goes";"1824";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"Goingarijp";"2489";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Goirle";"2880";"Goirle";"GM0785";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Goor";"1442";"Hof van Twente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"De Goorn";"1185";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gorinchem";"2299";"Gorinchem";"GM0512";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gorredijk";"3346";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Gorssel";"1338";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Gouda";"1005";"Gouda";"GM0513";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Gouderak";"2374";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudriaan";"1982";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goudswaard";"2886";"Korendijk";"GM0588";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Goutum";"3544";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"'t Goy";"2054";"Houten";"GM0321";"Utrecht";"PV26";"West-Nederland";"LD03"
"Graauw";"3094";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Grafhorst";"2896";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Graft";"1903";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Gramsbergen";"1549";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Grashoek";"3440";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grathem";"2943";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grave";"3197";"Grave";"GM0786";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Graveland";"3000";"Wijdemeren";"GM1696";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"'s-Gravendeel";"2380";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s-Gravenhage";"1245";"'s-Gravenhage";"GM0518";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s Gravenmoer";"2800";"Dongen";"GM0766";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"'s-Gravenpolder";"1263";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Gravenzande";"2662";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Greonterp";"2406";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grevenbicht";"2812";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Griendtsveen";"1029";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Grijpskerk";"2118";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grijpskerke";"2778";"Veere";"GM0717";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groede";"2967";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Groenekan";"2937";"De Bilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Groeningen";"1216";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Groenlo";"2224";"Oost Gelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groesbeek";"2291";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groessen";"2097";"Duiven";"GM0226";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Groet";"3044";"Bergen (NH.)";"GM0373";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"De Groeve";"2924";"Tynaarlo";"GM1730";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Grolloo";"1169";"Aa en Hunze";"GM1680";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Groningen";"1070";"Groningen";"GM0014";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Gronsveld";"1701";"Eijsden-Margraten";"GM1903";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Groot-Ammers";"1806";"Molenwaard";"GM1927";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Grootebroek";"1103";"Stede Broec";"GM0532";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grootegast";"2175";"Grootegast";"GM0015";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Grootschermer";"1887";"Alkmaar";"GM0361";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Grou";"3602";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Grubbenvorst";"1030";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gulpen";"1225";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Guttecoven";"2813";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Gytsjerk";"2444";"Tytsjerksteradiel";"GM0737";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haaften";"3360";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haaksbergen";"2347";"Haaksbergen";"GM0158";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haalderen";"3136";"Lingewaard";"GM1705";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'t Haantje";"2164";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Haaren";"1427";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarle";"1040";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarle";"1286";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Haarlem";"2907";"Haarlem";"GM0392";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlemmerliede";"2641";"Haarlemmerliede en Spaarnwoude";"GM0393";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Haarlo";"1660";"Berkelland";"GM1859";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haarsteeg";"3500";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haarzuilens";"3298";"Utrecht";"GM0344";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haastrecht";"2387";"Krimpenerwaard";"GM1931";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haelen";"2944";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hagestein";"2841";"Vianen";"GM0620";"Utrecht";"PV26";"West-Nederland";"LD03"
"Haghorst";"1310";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haler";"2945";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Halfweg";"2643";"Haarlemmerliede en Spaarnwoude";"GM0393";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hall";"1113";"Brummen";"GM0213";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Halle";"3575";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hallum";"3203";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Halsteren";"1938";"Bergen op Zoom";"GM0748";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Den Ham";"3321";"Twenterand";"GM1700";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Den Ham";"2116";"Zuidhorn";"GM0056";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Handel";"2092";"Gemert-Bakel";"GM1652";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hank";"2215";"Werkendam";"GM0870";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hansweert";"3461";"Reimerswaal";"GM0703";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hantum";"3395";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumeruitburen";"3396";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hantumhuizen";"3397";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hapert";"1065";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haps";"1451";"Cuijk";"GM1684";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Harbrinkhoek";"1287";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'t Harde";"1845";"Elburg";"GM0230";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardenberg";"3608";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Harderwijk";"3222";"Harderwijk";"GM0243";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hardinxveld-Giessendam";"3031";"Hardinxveld-Giessendam";"GM0523";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Haren";"3253";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Haren Gn";"1266";"Haren";"GM0017";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harfsen";"1339";"Lochem";"GM0262";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harich";"1676";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haringhuizen";"2515";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Harkema";"3178";"Achtkarspelen";"GM0059";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harkstede";"1349";"Slochteren";"GM0040";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Harlingen";"2891";"Harlingen";"GM0072";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Harmelen";"1072";"Woerden";"GM0632";"Utrecht";"PV26";"West-Nederland";"LD03"
"Harreveld";"2228";"Oost Gelre";"GM1586";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Harskamp";"2768";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hartwerd";"2310";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerdijken";"2490";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haskerhorne";"2491";"De Friese Meren";"GM1921";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hasselt";"2199";"Zwartewaterland";"GM1896";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hattem";"2882";"Hattem";"GM0244";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hattemerbroek";"3069";"Oldebroek";"GM0269";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Haule";"3576";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Haulerwijk";"3577";"Ooststellingwerf";"GM0085";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hauwert";"3566";"Medemblik";"GM0420";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Havelte";"3113";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Havelterberg";"3114";"Westerveld";"GM1701";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hazerswoude-Dorp";"2852";"Alphen aan den Rijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hazerswoude-Rijndijk";"2851";"Alphen aan den Rijn";"GM0484";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hedel";"1625";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hedikhuizen";"3515";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hee";"2623";"Terschelling";"GM0093";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heeg";"2407";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heel";"1917";"Maasgouw";"GM1641";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heelsum";"2987";"Renkum";"GM0274";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heelweg";"1576";"Oude IJsselstreek";"GM1509";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heemserveen";"1551";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Heemskerk";"2458";"Heemskerk";"GM0396";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heemstede";"2563";"Heemstede";"GM0397";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"De Heen";"1401";"Steenbergen";"GM0851";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heenvliet";"1387";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"'s-Heer Abtskerke";"1264";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Heer Arendskerke";"1822";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"'s-Heer Hendrikskinderen";"1823";"Goes";"GM0664";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heerde";"2865";"Heerde";"GM0246";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'s-Heerenberg";"2206";"Montferland";"GM1955";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"'s-Heerenbroek";"2899";"Kampen";"GM0166";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'s-Heerenhoek";"1265";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heerenveen";"3523";"Heerenveen";"GM0074";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Heerewaarden";"1626";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heerhugowaard";"1746";"Heerhugowaard";"GM0398";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heerjansdam";"2398";"Zwijndrecht";"GM0642";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heerle";"1590";"Roosendaal";"GM1674";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heerlen";"1312";"Heerlen";"GM0917";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heesbeen";"3516";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heesch";"3059";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heesselt";"3361";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heeswijk-Dinther";"3060";"Bernheze";"GM1721";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heeten";"1498";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Heeze";"1314";"Heeze-Leende";"GM1658";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hegebeintum";"3204";"Ferwerderadiel";"GM1722";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hegelsom";"1031";"Horst aan de Maas";"GM1507";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hei- en Boeicop";"2109";"Zederik";"GM0707";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heibloem";"2946";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heide";"2329";"Venray";"GM0984";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"It Heidenskip";"1973";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Ter Heijde";"2663";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heijen";"2483";"Gennep";"GM0907";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heijenrath";"1228";"Gulpen-Wittem";"GM1729";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Heijningen";"1318";"Moerdijk";"GM1709";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heikant";"3091";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heilig Landstichting";"2292";"Groesbeek";"GM0241";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heiligerlee";"1899";"Oldambt";"GM1895";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Heiloo";"1243";"Heiloo";"GM0399";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Heinenoord";"2381";"Binnenmaas";"GM0585";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Heinkenszand";"1255";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"Heino";"1492";"Raalte";"GM0177";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hekelingen";"3033";"Nissewaard";"GM1930";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hekendorp";"1909";"Oudewater";"GM0589";"Utrecht";"PV26";"West-Nederland";"LD03"
"Helden";"3441";"Peel en Maas";"GM1894";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Den Helder";"3056";"Den Helder";"GM0400";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Helenaveen";"1778";"Deurne";"GM0762";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hellendoorn";"3583";"Hellendoorn";"GM0163";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hellevoetsluis";"2137";"Hellevoetsluis";"GM0530";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hellouw";"3362";"Neerijnen";"GM0304";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hellum";"1350";"Slochteren";"GM0040";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Helmond";"1146";"Helmond";"GM0794";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Helvoirt";"1428";"Haaren";"GM0788";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hem";"1507";"Drechterland";"GM0498";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hemelum";"1970";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hemmen";"1865";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hempens";"1202";"Leeuwarden";"GM0080";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hemrik";"3347";"Opsterland";"GM0086";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hendrik-Ido-Ambacht";"2352";"Hendrik-Ido-Ambacht";"GM0531";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hengelo";"3510";"Hengelo";"GM0164";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hengelo (Gld)";"1535";"Bronckhorst";"GM1876";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hengevelde";"1443";"Hof van Twente";"GM1735";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hengstdijk";"3098";"Hulst";"GM0677";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hensbroek";"1186";"Koggenland";"GM1598";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Herbaijum";"1365";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Herkenbosch";"2590";"Roerdalen";"GM1669";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Herkingen";"2378";"Goeree-Overflakkee";"GM1924";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hernen";"2566";"Wijchen";"GM0296";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herpen";"3255";"Oss";"GM0828";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herpt";"3517";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herten";"2282";"Roermond";"GM0957";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hertme";"3570";"Borne";"GM0147";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"'s-Hertogenbosch";"1595";"'s-Hertogenbosch";"GM0796";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Herveld";"1866";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herwen";"2977";"Rijnwaarden";"GM0196";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Herwijnen";"2354";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heteren";"1867";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heukelom";"2648";"Oisterwijk";"GM0824";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heukelum";"2355";"Lingewaal";"GM0733";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heumen";"3495";"Heumen";"GM0252";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"De Heurne";"1195";"Aalten";"GM0197";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heusden";"3518";"Heusden";"GM0797";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heusden";"2929";"Asten";"GM0743";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Heveadorp";"2988";"Renkum";"GM0274";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Heythuysen";"2947";"Leudal";"GM1640";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hezingen";"1288";"Tubbergen";"GM0183";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hiaure";"3398";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hichtum";"2311";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hidaard";"2016";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hierden";"3223";"Harderwijk";"GM0243";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hieslum";"2312";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hijken";"3013";"Midden-Drenthe";"GM1731";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hijum";"3227";"Leeuwarderadeel";"GM0081";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hilaard";"2017";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hillegom";"3535";"Hillegom";"GM0534";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hilvarenbeek";"1307";"Hilvarenbeek";"GM0798";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hilversum";"1036";"Hilversum";"GM0402";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hindeloopen";"1968";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hinnaard";"2018";"Littenseradiel";"GM0140";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hippolytushoef";"1488";"Hollands Kroon";"GM1911";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hitzum";"1363";"Franekeradeel";"GM0070";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hobrede";"1838";"Zeevang";"GM0478";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hoedekenskerke";"1256";"Borsele";"GM0654";"Zeeland";"PV29";"West-Nederland";"LD03"
"de Hoef";"3548";"De Ronde Venen";"GM0736";"Utrecht";"PV26";"West-Nederland";"LD03"
"Hoek";"1130";"Terneuzen";"GM0715";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hoek van Holland";"3082";"Rotterdam";"GM0599";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hoenderloo";"2772";"Ede";"GM0228";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoenderloo";"2257";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoensbroek";"1313";"Heerlen";"GM0917";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Hoenzadriel";"1627";"Maasdriel";"GM0263";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"De Hoeve";"1723";"Weststellingwerf";"GM0098";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Hoevelaken";"2871";"Nijkerk";"GM0267";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoeven";"1250";"Halderberge";"GM1655";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hoge Hexel";"1089";"Wierden";"GM0189";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Hollandsche Rading";"2938";"De Bilt";"GM0310";"Utrecht";"PV26";"West-Nederland";"LD03"
"Hollandscheveld";"1813";"Hoogeveen";"GM0118";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Hollum";"2586";"Ameland";"GM0060";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Holsloot";"2156";"Coevorden";"GM0109";"Drenthe";"PV22";"Noord-Nederland";"LD01"
"Holten";"1567";"Rijssen-Holten";"GM1742";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holthees";"1217";"Boxmeer";"GM0756";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Holtheme";"1552";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holthone";"1553";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
"Holtum";"2814";"Sittard-Geleen";"GM1883";"Limburg";"PV31";"Zuid-Nederland";"LD04"
"Holwerd";"3399";"Dongeradeel";"GM0058";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Holwierde";"3237";"Delfzijl";"GM0010";"Groningen";"PV20";"Noord-Nederland";"LD01"
"Hommerts";"2408";"Súdwest-Fryslân";"GM1900";"Friesland";"PV21";"Noord-Nederland";"LD01"
"Homoet";"1868";"Overbetuwe";"GM1734";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Honselersdijk";"2656";"Westland";"GM1783";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hoofddorp";"1597";"Haarlemmermeer";"GM0394";"Noord-Holland";"PV27";"West-Nederland";"LD03"
"Hoofdplaat";"2968";"Sluis";"GM1714";"Zeeland";"PV29";"West-Nederland";"LD03"
"Hoog Soeren";"3564";"Apeldoorn";"GM0200";"Gelderland";"PV25";"Oost-Nederland";"LD02"
"Hoogblokland";"1434";"Giessenlanden";"GM0689";"Zuid-Holland";"PV28";"West-Nederland";"LD03"
"Hooge Mierde";"1874";"Reusel-De Mierden";"GM1667";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hooge Zwaluwe";"2575";"Drimmelen";"GM1719";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hoogeloon";"1066";"Bladel";"GM1728";"Noord-Brabant";"PV30";"Zuid-Nederland";"LD04"
"Hoogenweg";"1554";"Hardenberg";"GM0160";"Overijssel";"PV23";"Oost-Nederland";"LD02"
